  8000     2.8531E+00  4.7992E-02  2.9011E+00
  9000     3.0084E+00  4.4780E-02  3.0532E+00
    10000   3.1545E+00  4.2028E-02  3.1965E+00
    11000   3.2927E+00  3.9641E-02  3.3323E+00
    12000   3.4242E+00  3.7546E-02  3.4617E+00
    13000   3.5498E+00  3.5691E-02  3.5855E+00
    14000   3.6701E+00  3.4035E-02  3.7042E+00
    15000   3.7859E+00  3.2546E-02  3.8184E+00
    16000   3.8974E+00  3.1199E-02  3.9286E+00
    17000   4.0052E+00  2.9973E-02  4.0352E+00
    18000   4.1096E+00  2.8852E-02  4.1384E+00
    20000   4.3091E+00  2.6874E-02  4.3360E+00
    22000   4.4980E+00  2.5180E-02  4.5231E+00
    24000   4.6776E+00  2.3712E-02  4.7013E+00
    26000   4.8144E+00  2.2424E-02  4.8368E+00
    28000   4.8920E+00  2.1285E-02  4.9133E+00
    30000   4.9626E+00  2.0079E-02  4.9827E+00
    33000   5.0566E+00  1.8760E-02  5.0754E+00
    36000   5.1377E+00  1.7620E-02  5.1554E+00
    40000   5.2283E+00  1.6320E-02  5.2446E+00
    45000   5.3169E+00  1.4965E-02  5.3318E+00
    50000   5.3822E+00  1.3838E-02  5.3960E+00
    55000   5.4278E+00  1.2884E-02  5.4407E+00
    60000   5.4568E+00  1.2065E-02  5.4688E+00
    65000   5.4715E+00  1.1352E-02  5.4829E+00
    70000   5.4744E+00  1.0727E-02  5.4851E+00
    80000   5.4514E+00  9.6788E-03  5.4611E+00
    90000   5.4002E+00  8.8328E-03  5.4090E+00
   100000   5.3296E+00  8.1342E-03  5.3377E+00
   110000   5.2465E+00  7.5466E-03  5.2541E+00
   120000   5.1558E+00  7.0449E-03  5.1629E+00
   130000   5.0611E+00  6.6109E-03  5.0677E+00
   140000   4.9648E+00  6.2315E-03  4.9710E+00
   150000   4.8687E+00  5.8967E-03  4.8746E+00
   160000   4.7740E+00  5.5989E-03  4.7796E+00
   170000   4.6816E+00  5.3320E-03  4.6869E+00
   180000   4.5918E+00  5.0915E-03  4.5969E+00
   200000   4.4212E+00  4.6747E-03  4.4259E+00
   220000   4.2631E+00  4.3256E-03  4.2674E+00
   240000   4.1170E+00  4.0287E-03  4.1210E+00
   260000   3.9820E+00  3.7728E-03  3.9858E+00
   280000   3.8571E+00  3.5497E-03  3.8606E+00
   300000   3.7413E+00  3.3534E-03  3.7446E+00
