0.2000849E+00  0.4507889E+00  0.2094829E+02
0.2829628E+00  0.6375119E+00  0.2962536E+02
0.3465573E+00  0.7807894E+00  0.3628350E+02
0.4001699E+00  0.9015779E+00  0.4189658E+02
0.4474035E+00  0.1007995E+01  0.4684181E+02
0.4901060E+00  0.1104203E+01  0.5131263E+02
0.5293750E+00  0.1192676E+01  0.5542397E+02
0.5659257E+00  0.1275024E+01  0.5925072E+02
0.6002548E+00  0.1352367E+01  0.6284488E+02
0.6327241E+00  0.1425520E+01  0.6624432E+02
0.6636066E+00  0.1495098E+01  0.6947762E+02
0.6931145E+00  0.1561579E+01  0.7256701E+02
0.7214165E+00  0.1625343E+01  0.7553014E+02
0.7486493E+00  0.1686698E+01  0.7838133E+02
0.7749257E+00  0.1745898E+01  0.8113239E+02
0.8003398E+00  0.1803156E+01  0.8379317E+02
0.8249713E+00  0.1858650E+01  0.8637202E+02
0.8488885E+00  0.1912535E+01  0.8887608E+02
0.8721500E+00  0.1964944E+01  0.9131149E+02
0.8948070E+00  0.2015990E+01  0.9368362E+02
0.9169044E+00  0.2065774E+01  0.9599713E+02
0.9384815E+00  0.2114388E+01  0.9825620E+02
0.9595736E+00  0.2161908E+01  0.1004645E+03
0.9802120E+00  0.2208406E+01  0.1026253E+03
