   1  1.97624183306205695E-3
   11  1.58750377848401389E-3
   21  1.79573907163286845E-3
   31  1.77879187621736066E-3
   41  1.78030983306005854E-3
   51  2.07882269308796953E-3
   61  1.71850286520998288E-3
   71  1.90999998398646079E-3
   81  2.00329566514728706E-3
   91  1.95368834981772413E-3
   101  1.7845203380763132E-3
   111  1.94617268712037137E-3
   121  1.95447811419885778E-3
   131  2.12807368131092767E-3
   141  1.84905005186985724E-3
   151  2.01214477803080775E-3
   161  2.14509863380094945E-3
   171  1.9299768882070419E-3
   181  1.9624111014887903E-3
   191  2.00470954034225003E-3
   201  2.05673363813260041E-3
   211  2.16908286615698047E-3
   221  2.01279968567591536E-3
   231  1.99289969932956237E-3
   241  2.23082018714646771E-3
   251  2.0776097028196985E-3
   261  2.06176190667333066E-3
   271  2.13791791907327281E-3
   281  2.28931669935601148E-3
   291  2.25583454409874562E-3
   301  2.04542598486987534E-3
   311  2.15652936417699229E-3
   321  2.32858904795686097E-3
   331  2.17291598129051595E-3
   341  2.18787388566272318E-3
   351  2.36199168344510772E-3
   361  2.25669003097144589E-3
   371  2.36685048846938754E-3
   381  2.16297126529058515E-3
   391  2.2909777897529536E-3
   401  2.48037865807208173E-3
   411  2.32449755092934297E-3
   421  2.38725385013404713E-3
   431  2.35762839159042422E-3
   441  2.32583726059963245E-3
   451  2.43773900106178734E-3
   461  2.37413776969610385E-3
   471  2.35501562842594129E-3
   481  2.51727935851739533E-3
   491  2.39482631877353368E-3
   501  2.42156108508896715E-3
   511  2.46162475089058488E-3
   521  2.44344831534199294E-3
   531  2.56766417927494113E-3
   541  2.43846174557081023E-3
   551  2.4485640266937881E-3
   561  2.57760149529952026E-3
   571  2.5411164012177005E-3
   581  2.56403054482835444E-3
   591  2.52733887342003558E-3
   601  2.55856498315890687E-3
   611  2.67782363992257431E-3
   621  2.5132080261425346E-3
   631  2.55021573344367883E-3
   641  2.66361297295030636E-3
   651  2.64114015212552717E-3
   661  2.63261250826592359E-3
   671  2.60467635242288796E-3
   681  2.66579677829471232E-3
   691  2.7123396243073309E-3
   701  2.64879552527456583E-3
   711  2.63263297017465002E-3
   721  2.75592906091868574E-3
   731  2.69243708597984976E-3
   741  2.70265722762916532E-3
   751  2.71994108552254307E-3
   761  2.74209401602226602E-3
   771  2.82172088666362338E-3
   781  2.72918645695890798E-3
   791  2.76638731247448675E-3
   801  2.83199775236785438E-3
   811  2.81029275279556486E-3
   821  2.80996963946158985E-3
   831  2.7759171308007367E-3
   841  2.81876451127975906E-3
   851  2.95028776697488877E-3
   861  2.83745618435814325E-3
   871  2.81794221410582761E-3
   881  2.90338073800510852E-3
   891  2.88557336305582954E-3
   901  2.93179019060761789E-3
   911  2.8933951111285443E-3
   921  2.8760843964885179E-3
   931  3.01098668749226169E-3
   941  2.8857882099898105E-3
   951  2.8937494256628081E-3
   961  3.00245573022957842E-3
   971  2.9555029530697126E-3
   981  2.99899962906347538E-3
   991  2.93468756230894426E-3
   1001  2.9393029614716449E-3
   1011  3.08842464447671525E-3
   1021  2.97782152282740058E-3
   1031  2.96649979369747411E-3
   1041  3.0505186554766737E-3
   1051  3.07249445106600773E-3
   1061  3.09364078694041728E-3
   1071  2.97776014944972547E-3
   1081  3.07483552918406955E-3
   1091  3.19393802031540247E-3
   1101  3.05862392227097216E-3
   1111  3.05954850701455885E-3
   1121  3.1311627348084921E-3
   1131  3.13253442066367595E-3
   1141  3.16228398691144937E-3
   1151  3.07302237503649005E-3
   1161  3.14934928034432075E-3
   1171  3.26517086918670305E-3
   1181  3.11230641807444877E-3
   1191  3.17164127304316599E-3
   1201  3.24367681565396497E-3
   1211  3.17198865914204535E-3
   1221  3.24221140916866038E-3
   1231  3.19344031722596433E-3
   1241  3.17474071305125097E-3
   1251  3.31723588815358798E-3
   1261  3.20491935716592366E-3
   1271  3.20682930412976176E-3
   1281  3.32097795416138545E-3
   1291  3.25881873396885848E-3
   1301  3.3420088284383297E-3
   1311  3.26462999752975694E-3
   1321  3.29580436707995958E-3
   1331  3.36201576027062498E-3
   1341  3.34182124976443182E-3
   1351  3.3756777090259522E-3
   1361  3.2864624783371767E-3
   1371  3.37592588713833902E-3
   1381  3.40180641481768655E-3
   1391  3.33271127617869182E-3
   1401  3.38778213804128651E-3
   1411  3.44009458097700336E-3
   1421  3.39189976803483525E-3
   1431  3.37187225606652924E-3
