  0.000000E+00     0     0
  0.200335E+00     0     0
  0.283794E+00     0     0
  0.348166E+00     0     0
  0.402716E+00     0     0
  0.451027E+00     0     0
  0.494934E+00     0     0
  0.535527E+00     0     0
  0.573513E+00     0     0
  0.609385E+00     0     0
  0.643501E+00     0     0
  0.676131E+00     0     0
  0.707483E+00     0     0
  0.737726E+00     0     0
  0.766994E+00     0     0
  0.795399E+00     0     0
  0.823034E+00     0     0
  0.849978E+00     0     0
  0.876298E+00     0     0
  0.902054E+00     0     0
  0.927295E+00     0     0
  0.952068E+00     0     0
  0.976411E+00     0     0
  0.100036E+01     0     0
  0.102395E+01     0     0
  0.104720E+01     0     0
  0.107014E+01     0     0
  0.109280E+01     0     0
  0.111520E+01     0     0
  0.113735E+01     0     0
  0.115928E+01     0     0
  0.118100E+01     0     0
  0.120253E+01     0     0
  0.122388E+01     0     0
  0.124507E+01     0     0
  0.126610E+01     0     0
  0.128700E+01     0     0
  0.130777E+01     0     0
  0.132843E+01     0     0
  0.134898E+01     0     0
  0.136944E+01     0     0
  0.138981E+01     0     0
  0.141011E+01     0     0
  0.143033E+01     0     0
  0.145051E+01     0     0
  0.147063E+01     0     0
  0.149071E+01     0     0
  0.151076E+01     0     0
  0.153079E+01     0     0
  0.155079E+01     0     0
  0.157080E+01     0     0
  0.159080E+01     0     0
  0.161081E+01     0     0
  0.163083E+01     0     0
  0.165088E+01     0     0
  0.167096E+01     0     0
  0.169109E+01     0     0
  0.171126E+01     0     0
  0.173149E+01     0     0
  0.175178E+01     0     0
  0.177215E+01     0     0
  0.179261E+01     0     0
  0.181316E+01     0     0
  0.183382E+01     0     0
  0.185459E+01     0     0
  0.187549E+01     0     0
  0.189653E+01     0     0
  0.191771E+01     0     0
  0.193906E+01     0     0
  0.196059E+01     0     0
  0.198231E+01     0     0
  0.200424E+01     0     0
  0.202640E+01     0     0
  0.204879E+01     0     0
  0.207145E+01     0     0
  0.209440E+01     0     0
  0.211765E+01     0     0
  0.214123E+01     0     0
  0.216518E+01     0     0
  0.218953E+01     0     0
  0.221430E+01     0     0
  0.223954E+01     0     0
  0.226529E+01     0     0
  0.229162E+01     0     0
  0.231856E+01     0     0
  0.234619E+01     0     0
  0.237460E+01     0     0
  0.240387E+01     0     0
  0.243411E+01     0     0
  0.246546E+01     0     0
  0.249809E+01     0     0
  0.253221E+01     0     0
  0.256808E+01     0     0
  0.260607E+01     0     0
  0.264666E+01     0     0
  0.269057E+01     0     0
  0.273888E+01     0     0
  0.279343E+01     0     0
  0.285780E+01     0     0
  0.294126E+01     0     0
